Cell,CNAclone
Clone2Cell790,2
Clone2Cell791,2
Clone2Cell792,2
Clone2Cell793,2
Clone2Cell794,2
Clone2Cell795,2
Clone2Cell796,2
Clone2Cell797,2
Clone2Cell798,2
Clone2Cell799,2
Clone2Cell800,2
Clone2Cell801,2
Clone2Cell802,2
Clone2Cell803,2
Clone2Cell804,2
Clone2Cell805,2
Clone2Cell806,2
Clone2Cell807,2
Clone2Cell808,2
Clone2Cell809,2
Clone2Cell810,2
Clone2Cell811,2
Clone2Cell812,2
Clone2Cell813,2
Clone2Cell814,2
Clone2Cell815,2
Clone2Cell816,2
Clone2Cell817,2
Clone2Cell818,2
Clone2Cell819,2
Clone2Cell820,2
Clone2Cell821,2
Clone2Cell822,2
Clone2Cell823,2
Clone2Cell824,2
Clone2Cell825,2
Clone2Cell826,2
Clone2Cell827,2
Clone2Cell828,2
Clone2Cell829,2
Clone2Cell830,2
Clone2Cell831,2
Clone2Cell832,2
Clone2Cell833,2
Clone2Cell834,2
Clone2Cell835,2
Clone2Cell836,2
Clone2Cell837,2
Clone2Cell838,2
Clone2Cell839,2
Clone2Cell840,2
Clone2Cell841,2
Clone2Cell842,2
Clone2Cell843,2
Clone2Cell844,2
Clone2Cell845,2
Clone2Cell846,2
Clone2Cell847,2
Clone2Cell848,2
Clone2Cell849,2
Clone2Cell850,2
Clone2Cell851,2
Clone2Cell852,2
Clone2Cell853,2
Clone2Cell854,2
Clone2Cell855,2
Clone2Cell856,2
Clone2Cell857,2
Clone2Cell858,2
Clone2Cell859,2
Clone2Cell860,2
Clone2Cell861,2
Clone2Cell862,2
Clone2Cell863,2
Clone2Cell864,2
Clone2Cell865,2
Clone2Cell866,2
Clone2Cell867,2
Clone2Cell868,2
Clone2Cell869,2
Clone2Cell870,2
Clone2Cell871,2
Clone2Cell872,2
Clone2Cell873,2
Clone2Cell874,2
Clone2Cell875,2
Clone2Cell876,2
Clone2Cell877,2
Clone2Cell878,2
Clone2Cell879,2
Clone2Cell880,2
Clone2Cell881,2
Clone2Cell882,2
Clone2Cell883,2
Clone2Cell884,2
Clone2Cell885,2
Clone2Cell886,2
Clone2Cell887,2
Clone2Cell888,2
Clone2Cell889,2
Clone2Cell890,2
Clone2Cell891,2
Clone2Cell892,2
Clone2Cell893,2
Clone2Cell894,2
Clone2Cell895,2
Clone2Cell896,2
Clone2Cell897,2
Clone2Cell898,2
Clone2Cell899,2
Clone2Cell900,2
Clone2Cell901,2
Clone2Cell902,2
Clone2Cell903,2
Clone2Cell904,2
Clone2Cell905,2
Clone2Cell906,2
Clone2Cell907,2
Clone2Cell908,2
Clone2Cell909,2
Clone2Cell910,2
Clone2Cell911,2
Clone2Cell912,2
Clone2Cell913,2
Clone2Cell914,2
Clone2Cell915,2
Clone2Cell916,2
Clone2Cell917,2
Clone2Cell918,2
Clone2Cell919,2
Clone2Cell920,2
Clone2Cell921,2
Clone2Cell922,2
Clone2Cell923,2
Clone2Cell924,2
Clone2Cell925,2
Clone2Cell926,2
Clone2Cell927,2
Clone2Cell928,2
Clone2Cell929,2
Clone2Cell930,2
Clone2Cell931,2
Clone2Cell932,2
Clone2Cell933,2
Clone2Cell934,2
Clone2Cell935,2
Clone2Cell936,2
Clone2Cell937,2
Clone2Cell938,2
Clone2Cell939,2
Clone2Cell940,2
Clone2Cell941,2
Clone2Cell942,2
Clone2Cell943,2
Clone2Cell944,2
Clone2Cell945,2
Clone2Cell946,2
Clone2Cell947,2
Clone2Cell948,2
Clone2Cell949,2
Clone2Cell950,2
Clone2Cell951,2
Clone2Cell952,2
Clone2Cell953,2
Clone2Cell954,2
